From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,GeneName
P27635,P27635,reviewed,RL10_HUMAN,Large ribosomal subunit protein uL16 (60S ribosomal protein L10) (Laminin receptor homolog) (Protein QM) (Ribosomal protein L10) (Tumor suppressor QM),RPL10 DXS648E QM,Homo sapiens (Human),214,RPL10
Q6UXI9,Q6UXI9,reviewed,NPNT_HUMAN,Nephronectin (Preosteoblast EGF-like repeat protein with MAM domain) (Protein EGFL6-like),NPNT EGFL6L POEM UNQ295/PRO334,Homo sapiens (Human),565,NPNT
P49913,P49913,reviewed,CAMP_HUMAN,Cathelicidin antimicrobial peptide (18 kDa cationic antimicrobial protein) (CAP-18) (hCAP-18) [Cleaved into: Antibacterial peptide FALL-39 (FALL-39 peptide antibiotic); Antibacterial peptide LL-37; Antibacterial peptide KR-20; Antibacterial peptide LL-23; Antibacterial peptide LL-29; Antibacterial peptide KS-30; Antibacterial peptide RK-31; Antibacterial peptide FF-33],CAMP CAP18 FALL39 HSD26,Homo sapiens (Human),170,CAMP
Q16526,Q16526,reviewed,CRY1_HUMAN,Cryptochrome-1,CRY1 PHLL1,Homo sapiens (Human),586,CRY1
P80723,P80723,reviewed,BASP1_HUMAN,Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22),BASP1 NAP22,Homo sapiens (Human),227,BASP1
Q9HC38,Q9HC38,reviewed,GLOD4_HUMAN,Glyoxalase domain-containing protein 4,GLOD4 C17orf25 CGI-150 My027,Homo sapiens (Human),313,GLOD4
P50502,P50502,reviewed,F10A1_HUMAN,Hsc70-interacting protein (Hip) (Aging-associated protein 2) (Progesterone receptor-associated p48 protein) (Protein FAM10A1) (Putative tumor suppressor ST13) (Renal carcinoma antigen NY-REN-33) (Suppression of tumorigenicity 13 protein),ST13 AAG2 FAM10A1 HIP SNC6,Homo sapiens (Human),369,ST13
Q9UPN7,Q9UPN7,reviewed,PP6R1_HUMAN,Serine/threonine-protein phosphatase 6 regulatory subunit 1 (SAPS domain family member 1),PPP6R1 KIAA1115 PP6R1 SAPS1,Homo sapiens (Human),881,PPP6R1
Q9P0G3,Q9P0G3,reviewed,KLK14_HUMAN,Kallikrein-14 (hK14) (EC 3.4.21.-) (Kallikrein-like protein 6) (KLK-L6),KLK14 KLKL6,Homo sapiens (Human),267,KLK14
Q86UX2,Q86UX2,reviewed,ITIH5_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H5 (ITI heavy chain H5) (ITI-HC5) (Inter-alpha-inhibitor heavy chain 5),ITIH5 KIAA1953 PP14776 UNQ311/PRO354,Homo sapiens (Human),942,ITIH5
Q9BR76,Q9BR76,reviewed,COR1B_HUMAN,Coronin-1B (Coronin-2),CORO1B,Homo sapiens (Human),489,CORO1B
O43396,O43396,reviewed,TXNL1_HUMAN,Thioredoxin-like protein 1 (32 kDa thioredoxin-related protein),TXNL1 TRP32 TXL TXNL,Homo sapiens (Human),289,TXNL1
Q8WXW3,Q8WXW3,reviewed,PIBF1_HUMAN,Progesterone-induced-blocking factor 1 (PIBF) (Centrosomal protein of 90 kDa) (CEP90),PIBF1 C13orf24 PIBF,Homo sapiens (Human),757,PIBF1
P53804,P53804,reviewed,TTC3_HUMAN,E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (Protein DCRR1) (RING finger protein 105) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Tetratricopeptide repeat protein 3) (TPR repeat protein 3),TTC3 DCRR1 RNF105 TPRD,Homo sapiens (Human),2025,TTC3
P31937,P31937,reviewed,3HIDH_HUMAN,"3-hydroxyisobutyrate dehydrogenase, mitochondrial (HIBADH) (EC 1.1.1.31)",HIBADH,Homo sapiens (Human),336,HIBADH
Q8NEU8,Q8NEU8,reviewed,DP13B_HUMAN,"DCC-interacting protein 13-beta (Dip13-beta) (Adapter protein containing PH domain, PTB domain and leucine zipper motif 2)",APPL2 DIP13B,Homo sapiens (Human),664,APPL2
O60902,O60902,reviewed,SHOX2_HUMAN,Short stature homeobox protein 2 (Homeobox protein Og12X) (Paired-related homeobox protein SHOT),SHOX2 OG12X SHOT,Homo sapiens (Human),331,SHOX2
P16157,P16157,reviewed,ANK1_HUMAN,Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin),ANK1 ANK,Homo sapiens (Human),1881,ANK1
P62333,P62333,reviewed,PRS10_HUMAN,26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42),PSMC6 SUG2,Homo sapiens (Human),389,PSMC6
O00483,O00483,reviewed,NDUA4_HUMAN,Cytochrome c oxidase subunit NDUFA4 (Complex I-MLRQ) (CI-MLRQ) (NADH-ubiquinone oxidoreductase MLRQ subunit),NDUFA4,Homo sapiens (Human),81,NDUFA4
P68036,P68036,reviewed,UB2L3_HUMAN,Ubiquitin-conjugating enzyme E2 L3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme L3) (L-UBC) (UbcH7) (Ubiquitin carrier protein L3) (Ubiquitin-conjugating enzyme E2-F1) (Ubiquitin-protein ligase L3),UBE2L3 UBCE7 UBCH7,Homo sapiens (Human),154,UBE2L3
Q7Z6Z7,Q7Z6Z7,reviewed,HUWE1_HUMAN,"E3 ubiquitin-protein ligase HUWE1 (EC 2.3.2.26) (ARF-binding protein 1) (ARF-BP1) (HECT, UBA and WWE domain-containing protein 1) (HECT-type E3 ubiquitin transferase HUWE1) (Homologous to E6AP carboxyl terminus homologous protein 9) (HectH9) (Large structure of UREB1) (LASU1) (Mcl-1 ubiquitin ligase E3) (Mule) (Upstream regulatory element-binding protein 1) (URE-B1) (URE-binding protein 1)",HUWE1 KIAA0312 KIAA1578 UREB1 HSPC272,Homo sapiens (Human),4374,HUWE1
P22748,P22748,reviewed,CAH4_HUMAN,Carbonic anhydrase 4 (EC 4.2.1.1) (Carbonate dehydratase IV) (Carbonic anhydrase IV) (CA-IV),CA4,Homo sapiens (Human),312,CA4
P62191,P62191,reviewed,PRS4_HUMAN,26S proteasome regulatory subunit 4 (P26s4) (26S proteasome AAA-ATPase subunit RPT2) (Proteasome 26S subunit ATPase 1),PSMC1,Homo sapiens (Human),440,PSMC1
Q9Y5X9,Q9Y5X9,reviewed,LIPG_HUMAN,Endothelial lipase (EC 3.1.1.3) (Endothelial cell-derived lipase) (EDL) (EL) (Phospholipase A1) (EC 3.1.1.32),LIPG UNQ387/PRO719,Homo sapiens (Human),500,LIPG
A8K8P3,A8K8P3,reviewed,SFI1_HUMAN,Protein SFI1 homolog (hSFI1),SFI1 KIAA0542,Homo sapiens (Human),1242,SFI1
P04275,P04275,reviewed,VWF_HUMAN,von Willebrand factor (vWF) [Cleaved into: von Willebrand antigen 2 (von Willebrand antigen II)],VWF F8VWF,Homo sapiens (Human),2813,VWF
Q9UBX5,Q9UBX5,reviewed,FBLN5_HUMAN,Fibulin-5 (FIBL-5) (Developmental arteries and neural crest EGF-like protein) (Dance) (Urine p50 protein) (UP50),FBLN5 DANCE UNQ184/PRO210,Homo sapiens (Human),448,FBLN5
A8MYU2,A8MYU2,reviewed,KCNU1_HUMAN,"Potassium channel subfamily U member 1 (Calcium-activated potassium channel subunit alpha-3) (Calcium-activated potassium channel, subfamily M subunit alpha-3) (KCa5) (Slowpoke homolog 3)",KCNU1 KCNMA3 KCNMC1 SLO3,Homo sapiens (Human),1149,KCNU1
Q9HAS3,Q9HAS3,reviewed,S28A3_HUMAN,Solute carrier family 28 member 3 (Concentrative Na(+)-nucleoside cotransporter 3) (CNT 3) (hCNT3),SLC28A3 CNT3,Homo sapiens (Human),691,SLC28A3
Q8IXL6,Q8IXL6,reviewed,FA20C_HUMAN,Extracellular serine/threonine protein kinase FAM20C (EC 2.7.11.1) (Dentin matrix protein 4) (DMP-4) (Golgi casein kinase) (Golgi-enriched fraction casein kinase) (GEF-CK),FAM20C DMP4,Homo sapiens (Human),584,FAM20C
O00399,O00399,reviewed,DCTN6_HUMAN,Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3),DCTN6 WS3,Homo sapiens (Human),190,DCTN6
Q16881,Q16881,reviewed,TRXR1_HUMAN,"Thioredoxin reductase 1, cytoplasmic (TR) (EC 1.8.1.9) (Gene associated with retinoic and interferon-induced mortality 12 protein) (GRIM-12) (Gene associated with retinoic and IFN-induced mortality 12 protein) (KM-102-derived reductase-like factor) (Peroxidase TXNRD1) (EC 1.11.1.2) (Thioredoxin reductase TR1)",TXNRD1 GRIM12 KDRF,Homo sapiens (Human),649,TXNRD1
O00233,O00233,reviewed,PSMD9_HUMAN,26S proteasome non-ATPase regulatory subunit 9 (26S proteasome regulatory subunit p27),PSMD9,Homo sapiens (Human),223,PSMD9
Q96PX9,Q96PX9,reviewed,PKH4B_HUMAN,Pleckstrin homology domain-containing family G member 4B (PH domain-containing family G member 4B),PLEKHG4B KIAA1909,Homo sapiens (Human),1627,PLEKHG4B
Q6Q788,Q6Q788,reviewed,APOA5_HUMAN,Apolipoprotein A-V (Apo-AV) (ApoA-V) (Apolipoprotein A5) (Regeneration-associated protein 3),APOA5 RAP3 UNQ411/PRO773,Homo sapiens (Human),366,APOA5
Q9NRY5,Q9NRY5,reviewed,F1142_HUMAN,Protein FAM114A2,FAM114A2 C5orf3,Homo sapiens (Human),505,FAM114A2
Q8N766,Q8N766,reviewed,EMC1_HUMAN,ER membrane protein complex subunit 1,EMC1 KIAA0090 PSEC0263,Homo sapiens (Human),993,EMC1
P52732,P52732,reviewed,KIF11_HUMAN,Kinesin-like protein KIF11 (Kinesin-like protein 1) (Kinesin-like spindle protein HKSP) (Kinesin-related motor protein Eg5) (Thyroid receptor-interacting protein 5) (TR-interacting protein 5) (TRIP-5),KIF11 EG5 KNSL1 TRIP5,Homo sapiens (Human),1056,KIF11
P29144,P29144,reviewed,TPP2_HUMAN,Tripeptidyl-peptidase 2 (TPP-2) (EC 3.4.14.10) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase II) (TPP-II),TPP2,Homo sapiens (Human),1249,TPP2
P27816,P27816,reviewed,MAP4_HUMAN,Microtubule-associated protein 4 (MAP-4),MAP4,Homo sapiens (Human),1152,MAP4
Q92835,Q92835,reviewed,SHIP1_HUMAN,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1 (EC 3.1.3.86) (Inositol polyphosphate-5-phosphatase D) (EC 3.1.3.56) (Inositol polyphosphate-5-phosphatase of 145 kDa) (SIP-145) (Phosphatidylinositol 4,5-bisphosphate 5-phosphatase) (EC 3.1.3.36) (SH2 domain-containing inositol 5'-phosphatase 1) (SH2 domain-containing inositol phosphatase 1) (SHIP-1) (p150Ship) (hp51CN)",INPP5D SHIP SHIP1,Homo sapiens (Human),1189,INPP5D
A2A3L6,A2A3L6,reviewed,TTC24_HUMAN,Tetratricopeptide repeat protein 24 (TPR repeat protein 24),TTC24,Homo sapiens (Human),582,TTC24
P35998,P35998,reviewed,PRS7_HUMAN,26S proteasome regulatory subunit 7 (26S proteasome AAA-ATPase subunit RPT1) (Proteasome 26S subunit ATPase 2),PSMC2 MSS1,Homo sapiens (Human),433,PSMC2
Q14005,Q14005,reviewed,IL16_HUMAN,Pro-interleukin-16 [Cleaved into: Interleukin-16 (IL-16) (Lymphocyte chemoattractant factor) (LCF)],IL16,Homo sapiens (Human),1332,IL16
Q9BQ39,Q9BQ39,reviewed,DDX50_HUMAN,ATP-dependent RNA helicase DDX50 (EC 3.6.4.13) (DEAD box protein 50) (Gu-beta) (Nucleolar protein Gu2),DDX50,Homo sapiens (Human),737,DDX50
O14744,O14744,reviewed,ANM5_HUMAN,"Protein arginine N-methyltransferase 5 (PRMT5) (EC 2.1.1.320) (72 kDa ICln-binding protein) (Histone-arginine N-methyltransferase PRMT5) (Jak-binding protein 1) (Shk1 kinase-binding protein 1 homolog) (SKB1 homolog) (SKB1Hs) [Cleaved into: Protein arginine N-methyltransferase 5, N-terminally processed]",PRMT5 HRMT1L5 IBP72 JBP1 SKB1,Homo sapiens (Human),637,PRMT5
Q08431,Q08431,reviewed,MFGM_HUMAN,Lactadherin (Breast epithelial antigen BA46) (HMFG) (MFGM) (Milk fat globule-EGF factor 8) (MFG-E8) (SED1) [Cleaved into: Lactadherin short form; Medin],MFGE8,Homo sapiens (Human),387,MFGE8
Q8N5M9,Q8N5M9,reviewed,JAGN1_HUMAN,Protein jagunal homolog 1,JAGN1,Homo sapiens (Human),183,JAGN1
Q15631,Q15631,reviewed,TSN_HUMAN,Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO),TSN,Homo sapiens (Human),228,TSN
Q9NRP0,Q9NRP0,reviewed,OSTC_HUMAN,Oligosaccharyltransferase complex subunit OSTC (Hydrophobic protein HSF-28),OSTC DC2 HDCMD45P HSPC307,Homo sapiens (Human),149,OSTC
Q14872,Q14872,reviewed,MTF1_HUMAN,Metal regulatory transcription factor 1 (MRE-binding transcription factor) (Transcription factor MTF-1),MTF1,Homo sapiens (Human),753,MTF1
P12107,P12107,reviewed,COBA1_HUMAN,Collagen alpha-1(XI) chain,COL11A1 COLL6,Homo sapiens (Human),1806,COL11A1
Q9UKV3,Q9UKV3,reviewed,ACINU_HUMAN,Apoptotic chromatin condensation inducer in the nucleus (Acinus),ACIN1 ACINUS KIAA0670,Homo sapiens (Human),1341,ACIN1
Q6DN03,Q6DN03,reviewed,H2B2C_HUMAN,Putative histone H2B type 2-C (H2B-clustered histone 20 pseudogene) (Histone H2B.t) (H2B/t),H2BC20P HIST2H2BC,Homo sapiens (Human),193,H2BC20P
Q9P0J7,Q9P0J7,reviewed,KCMF1_HUMAN,E3 ubiquitin-protein ligase KCMF1 (EC 2.3.2.27) (FGF-induced in gastric cancer) (Potassium channel modulatory factor) (PCMF) (ZZ-type zinc finger-containing protein 1),KCMF1 FIGC ZZZ1,Homo sapiens (Human),381,KCMF1
P07355,P07355,reviewed,ANXA2_HUMAN,Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36),ANXA2 ANX2 ANX2L4 CAL1H LPC2D,Homo sapiens (Human),339,ANXA2
Q9BSL1,Q9BSL1,reviewed,UBAC1_HUMAN,Ubiquitin-associated domain-containing protein 1 (UBA domain-containing protein 1) (Glialblastoma cell differentiation-related protein 1) (Kip1 ubiquitination-promoting complex protein 2),UBAC1 GBDR1 KPC2 UBADC1,Homo sapiens (Human),405,UBAC1
P52948,P52948,reviewed,NUP98_HUMAN,Nuclear pore complex protein Nup98-Nup96 (EC 3.4.21.-) [Cleaved into: Nuclear pore complex protein Nup98 (98 kDa nucleoporin) (Nucleoporin Nup98) (Nup98); Nuclear pore complex protein Nup96 (96 kDa nucleoporin) (Nucleoporin Nup96) (Nup96)],NUP98 ADAR2,Homo sapiens (Human),1817,NUP98
P51654,P51654,reviewed,GPC3_HUMAN,Glypican-3 (GTR2-2) (Intestinal protein OCI-5) (MXR7) [Cleaved into: Glypican-3 alpha subunit; Glypican-3 beta subunit],GPC3 OCI5,Homo sapiens (Human),580,GPC3
O95376,O95376,reviewed,ARI2_HUMAN,E3 ubiquitin-protein ligase ARIH2 (ARI-2) (Protein ariadne-2 homolog) (EC 2.3.2.31) (Triad1 protein),ARIH2 ARI2 TRIAD1 HT005,Homo sapiens (Human),493,ARIH2
Q04756,Q04756,reviewed,HGFA_HUMAN,Hepatocyte growth factor activator serine protease (HGF activator) (HGFA) (HGFA serine protease) (EC 3.4.21.-) (Serine protease HGFAC) [Cleaved into: Hepatocyte growth factor activator short chain; Hepatocyte growth factor activator long chain],HGFAC,Homo sapiens (Human),655,HGFAC
Q8IYX4,Q8IYX4,reviewed,DND1_HUMAN,"Dead end protein homolog 1 (RNA-binding motif, single-stranded-interacting protein 4)",DND1 RBMS4,Homo sapiens (Human),353,DND1
P46459,P46459,reviewed,NSF_HUMAN,Vesicle-fusing ATPase (EC 3.6.4.6) (N-ethylmaleimide-sensitive fusion protein) (NEM-sensitive fusion protein) (Vesicular-fusion protein NSF),NSF,Homo sapiens (Human),744,NSF
Q9Y3E0,Q9Y3E0,reviewed,GOT1B_HUMAN,Vesicle transport protein GOT1B (Germ cell tumor 2) (Golgi transport 1 homolog B) (Putative NF-kappa-B-activating protein 470) (hGOT1a),GOLT1B GCT2 GOT1A CGI-141 HDCMA39P UNQ432/PRO793,Homo sapiens (Human),138,GOLT1B
Q658P3,Q658P3,reviewed,STEA3_HUMAN,Metalloreductase STEAP3 (EC 1.16.1.-) (Dudulin-2) (Six-transmembrane epithelial antigen of prostate 3) (Tumor suppressor-activated pathway protein 6) (hTSAP6) (pHyde) (hpHyde),STEAP3 TSAP6,Homo sapiens (Human),488,STEAP3
O76003,O76003,reviewed,GLRX3_HUMAN,Glutaredoxin-3 (PKC-interacting cousin of thioredoxin) (PICOT) (PKC-theta-interacting protein) (PKCq-interacting protein) (Thioredoxin-like protein 2),GLRX3 PICOT TXNL2 HUSSY-22,Homo sapiens (Human),335,GLRX3
P01031,P01031,reviewed,CO5_HUMAN,Complement C5 (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 4) [Cleaved into: Complement C5 beta chain; Complement C5 alpha chain; C5a anaphylatoxin; Complement C5b (Complement C5 alpha' chain)],C5 CPAMD4,Homo sapiens (Human),1676,C5
Q12769,Q12769,reviewed,NU160_HUMAN,Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Nucleoporin Nup160),NUP160 KIAA0197 NUP120,Homo sapiens (Human),1436,NUP160
O14920,O14920,reviewed,IKKB_HUMAN,Inhibitor of nuclear factor kappa-B kinase subunit beta (I-kappa-B-kinase beta) (IKK-B) (IKK-beta) (IkBKB) (EC 2.7.11.10) (I-kappa-B kinase 2) (IKK-2) (IKK2) (Nuclear factor NF-kappa-B inhibitor kinase beta) (NFKBIKB) (Serine/threonine protein kinase IKBKB) (EC 2.7.11.1),IKBKB IKKB,Homo sapiens (Human),756,IKBKB
Q9Y5U5,Q9Y5U5,reviewed,TNR18_HUMAN,Tumor necrosis factor receptor superfamily member 18 (Activation-inducible TNFR family receptor) (Glucocorticoid-induced TNFR-related protein) (CD antigen CD357),TNFRSF18 AITR GITR UNQ319/PRO364,Homo sapiens (Human),241,TNFRSF18
P05109,P05109,reviewed,S10A8_HUMAN,Protein S100-A8 (Calgranulin-A) (Calprotectin L1L subunit) (Cystic fibrosis antigen) (CFAG) (Leukocyte L1 complex light chain) (Migration inhibitory factor-related protein 8) (MRP-8) (p8) (S100 calcium-binding protein A8) (Urinary stone protein band A),S100A8 CAGA CFAG MRP8,Homo sapiens (Human),93,S100A8
P11177,P11177,reviewed,ODPB_HUMAN,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial (PDHE1-B) (EC 1.2.4.1)",PDHB PHE1B,Homo sapiens (Human),359,PDHB
Q99714,Q99714,reviewed,HCD2_HUMAN,3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH),HSD17B10 ERAB HADH2 MRPP2 SCHAD SDR5C1 XH98G2,Homo sapiens (Human),261,HSD17B10
P61201,P61201,reviewed,CSN2_HUMAN,COP9 signalosome complex subunit 2 (SGN2) (Signalosome subunit 2) (Alien homolog) (JAB1-containing signalosome subunit 2) (Thyroid receptor-interacting protein 15) (TR-interacting protein 15) (TRIP-15),COPS2 CSN2 TRIP15,Homo sapiens (Human),443,COPS2
O00410,O00410,reviewed,IPO5_HUMAN,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),IPO5 KPNB3 RANBP5,Homo sapiens (Human),1097,IPO5
P35611,P35611,reviewed,ADDA_HUMAN,Alpha-adducin (Erythrocyte adducin subunit alpha),ADD1 ADDA,Homo sapiens (Human),737,ADD1
P02649,P02649,reviewed,APOE_HUMAN,Apolipoprotein E (Apo-E),APOE,Homo sapiens (Human),317,APOE
Q504Y2,Q504Y2,reviewed,PKDCC_HUMAN,"Extracellular tyrosine-protein kinase PKDCC (EC 2.7.10.2) (Protein kinase domain-containing protein, cytoplasmic) (Protein kinase-like protein SgK493) (Sugen kinase 493) (Vertebrate lonesome kinase)",PKDCC SGK493 VLK,Homo sapiens (Human),493,PKDCC
Q9BQA1,Q9BQA1,reviewed,MEP50_HUMAN,Methylosome protein WDR77 (Androgen receptor cofactor p44) (Methylosome protein 50) (MEP-50) (WD repeat-containing protein 77) (p44/Mep50),WDR77 MEP50 WD45 HKMT1069 Nbla10071,Homo sapiens (Human),342,WDR77
Q16363,Q16363,reviewed,LAMA4_HUMAN,Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha),LAMA4,Homo sapiens (Human),1823,LAMA4
P62263,P62263,reviewed,RS14_HUMAN,Small ribosomal subunit protein uS11 (40S ribosomal protein S14),RPS14 PRO2640,Homo sapiens (Human),151,RPS14
P30153,P30153,reviewed,2AAA_HUMAN,Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform (PP2Aa) (Medium tumor antigen-associated 61 kDa protein) (PP2A subunit A isoform PR65-alpha) (PP2A subunit A isoform R1-alpha),PPP2R1A,Homo sapiens (Human),589,PPP2R1A
Q86UT6,Q86UT6,reviewed,NLRX1_HUMAN,NLR family member X1 (Caterpiller protein 11.3) (CLR11.3) (Nucleotide-binding oligomerization domain protein 5) (Nucleotide-binding oligomerization domain protein 9),NLRX1 NOD5 NOD9,Homo sapiens (Human),975,NLRX1
Q92496,Q92496,reviewed,FHR4_HUMAN,Complement factor H-related protein 4 (FHR-4),CFHR4 CFHL4 FHR4,Homo sapiens (Human),578,CFHR4
P05362,P05362,reviewed,ICAM1_HUMAN,Intercellular adhesion molecule 1 (ICAM-1) (Major group rhinovirus receptor) (CD antigen CD54),ICAM1,Homo sapiens (Human),532,ICAM1
Q14D04,Q14D04,reviewed,MELT_HUMAN,Ventricular zone-expressed PH domain-containing protein homolog 1 (Protein melted),VEPH1 KIAA1692 VEPH,Homo sapiens (Human),833,VEPH1
O95477,O95477,reviewed,ABCA1_HUMAN,Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein),ABCA1 ABC1 CERP,Homo sapiens (Human),2261,ABCA1
Q9H446,Q9H446,reviewed,RWDD1_HUMAN,RWD domain-containing protein 1 (DRG family-regulatory protein 2),RWDD1 DFRP2 CGI-24 PTD013,Homo sapiens (Human),243,RWDD1
Q9GZP4,Q9GZP4,reviewed,PITH1_HUMAN,PITH domain-containing protein 1,PITHD1 C1orf128 AD039 HT014 PP603,Homo sapiens (Human),211,PITHD1
P02671,P02671,reviewed,FIBA_HUMAN,Fibrinogen alpha chain [Cleaved into: Fibrinopeptide A; Fibrinogen alpha chain],FGA,Homo sapiens (Human),866,FGA
Q16401,Q16401,reviewed,PSMD5_HUMAN,26S proteasome non-ATPase regulatory subunit 5 (26S protease subunit S5 basic) (26S proteasome subunit S5B),PSMD5 KIAA0072,Homo sapiens (Human),504,PSMD5
P59666,P59666,reviewed,DEF3_HUMAN,"Neutrophil defensin 3 (Defensin, alpha 3) (HNP-3) (HP-3) (HP3) [Cleaved into: HP 3-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]",DEFA3 DEF3,Homo sapiens (Human),94,DEFA3
Q8IUE6,Q8IUE6,reviewed,H2A2B_HUMAN,Histone H2A type 2-B (H2A-clustered histone 21),H2AC21 HIST2H2AB,Homo sapiens (Human),130,H2AC21
P08648,P08648,reviewed,ITA5_HUMAN,Integrin alpha-5 (CD49 antigen-like family member E) (Fibronectin receptor subunit alpha) (Integrin alpha-F) (VLA-5) (CD antigen CD49e) [Cleaved into: Integrin alpha-5 heavy chain; Integrin alpha-5 light chain],ITGA5 FNRA,Homo sapiens (Human),1049,ITGA5
Q4G0P3,Q4G0P3,reviewed,HYDIN_HUMAN,Hydrocephalus-inducing protein homolog,HYDIN HYDIN1 KIAA1864,Homo sapiens (Human),5121,HYDIN
Q4KWH8,Q4KWH8,reviewed,PLCH1_HUMAN,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-eta-1) (Phospholipase C-eta-1) (PLC-eta-1) (Phospholipase C-like protein 3) (PLC-L3)",PLCH1 KIAA1069 PLCL3,Homo sapiens (Human),1693,PLCH1
P0C0S5,P0C0S5,reviewed,H2AZ_HUMAN,Histone H2A.Z (H2A/z),H2AZ1 H2AFZ H2AZ,Homo sapiens (Human),128,H2AZ1
Q00577,Q00577,reviewed,PURA_HUMAN,Transcriptional activator protein Pur-alpha (Purine-rich single-stranded DNA-binding protein alpha),PURA PUR1,Homo sapiens (Human),322,PURA
P83731,P83731,reviewed,RL24_HUMAN,Large ribosomal subunit protein eL24 (60S ribosomal protein L24) (60S ribosomal protein L30),RPL24,Homo sapiens (Human),157,RPL24
P69891,P69891,reviewed,HBG1_HUMAN,Hemoglobin subunit gamma-1 (Gamma-1-globin) (Hb F Agamma) (Hemoglobin gamma-1 chain) (Hemoglobin gamma-A chain),HBG1 PRO2979,Homo sapiens (Human),147,HBG1
P69892,P69892,reviewed,HBG2_HUMAN,Hemoglobin subunit gamma-2 (Gamma-2-globin) (Hb F Ggamma) (Hemoglobin gamma-2 chain) (Hemoglobin gamma-G chain),HBG2,Homo sapiens (Human),147,HBG2
P69905,P69905,reviewed,HBA_HUMAN,Hemoglobin subunit alpha (Alpha-globin) (Hemoglobin alpha chain) [Cleaved into: Hemopressin],HBA1; HBA2,Homo sapiens (Human),142,HBA1
P59665,P59665,reviewed,DEF1_HUMAN,"Neutrophil defensin 1 (Defensin, alpha 1) (HNP-1) (HP-1) (HP1) [Cleaved into: HP 1-56; Neutrophil defensin 2 (HNP-2) (HP-2) (HP2)]",DEFA1 DEF1 DEFA2 MRS; DEFA1B,Homo sapiens (Human),94,DEFA1
